Unnamed: 0,Tag,SMILES,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
18,19,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,396.0,489.0,5.9,,,,,,,255.31598,DOI: 10.1021/j100248a024
19,20,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,393.0,455.0,4.3,,,,,,,309.28616,DOI: 10.1021/j100248a024
20,21,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,409.0,501.0,5.4,,,,,,,309.28616,DOI: 10.1021/j100248a024
21,22,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,418.0,521.0,5.6,,,,,,,309.28616,DOI: 10.1021/j100248a024
24,25,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,382.0,439.0,4.2,,,,,,,283.24828,DOI: 10.1021/j100248a024
25,26,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,405.0,510.0,5.6,,,,,,,283.24828,DOI: 10.1021/j100248a024
26,27,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,408.0,515.0,5.1,,,,,,,283.24828,DOI: 10.1021/j100248a024
29,30,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,403.0,480.0,2.8,,,,,,,347.41674,DOI: 10.1021/j100248a024
30,31,CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354.0,420.0,3.5,,,,,,,217.2671,DOI: 10.1021/j100248a024
31,32,CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383.0,481.0,7.7,,,,,,,271.23728,DOI: 10.1021/j100248a024
32,33,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,530.0,555.0,3.7,,,,,,,443.56514,doi/10.1021/j100535a016
33,34,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,O,,,1.52,,,,,,,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
34,35,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,,,4.16,0.95,,,,,,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
41,42,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CO,,,2.15,,,,,,,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
42,43,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CO,,,4.28,,,,,,,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
43,44,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CO,,,4.59,1.0,,,,,,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
44,45,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCO,,,2.45,,,,,,,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
45,46,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCO,,,4.25,,,,,,,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
46,47,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CC(C)O,,,3.26,,,,,,,442.5572,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
47,48,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CC(C)O,,,2.69,,,,,,,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
48,49,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CC(C)O,,,3.96,,,,,,,443.56514,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
49,50,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CC(C)O,,,4.36,,,,,,,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
50,51,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CC(C)O,,,4.36,,,,,,,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
51,52,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCO,,,3.27,,,,,,,442.5572,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
52,53,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCO,,,2.79,,,,,,,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
53,54,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCO,,,3.95,,,,,,,443.56514,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
54,55,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCO,,,4.42,,,,,,,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
55,56,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCO,,,4.3,,,,,,,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
56,57,CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CCCCO,,,3.37,,,,,,,442.5572,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
57,58,CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,CCCCO,,,2.98,,,,,,,445.58102,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
58,59,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CCCCO,,,3.89,,,,,,,443.56514,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
59,60,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,CCCCO,,,4.4,,,,,,,330.2944,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
60,61,O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCCCO,,,4.3,,,,,,,490.6012,https://doi.org/10.1111/j.1751-1097.1999.tb08277.x
71,72,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,O,515.0,538.0,1.425,0.2,,,,,,645.87864,doi/10.1021/ja00455a017
72,73,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,521.0,534.0,0.115,0.02,,,,,,833.86264,doi/10.1021/ja00455a017
73,74,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,548.0,566.0,0.095,0.018,,,,,,971.64288,doi/10.1021/ja00455a017
74,75,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CO,522.0,542.0,3.28,0.6,,,,,,645.87864,doi/10.1021/ja00455a017
75,76,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,526.0,545.0,0.5,0.08,,,,,,833.86264,doi/10.1021/ja00455a017
76,77,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,556.0,571.0,0.655,0.08,,,,,,971.64288,doi/10.1021/ja00455a017
77,78,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CCO,527.0,550.0,3.62,0.69,,,,,,645.87864,doi/10.1021/ja00455a017
78,79,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,532.0,551.0,0.565,0.08,,,,,,833.86264,doi/10.1021/ja00455a017
79,80,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,558.0,573.0,0.82,0.11,,,,,,971.64288,doi/10.1021/ja00455a017
80,81,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,529.0,551.0,3.715,0.76,,,,,,645.87864,doi/10.1021/ja00455a017
81,82,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,532.0,557.0,0.66,0.1,,,,,,833.86264,doi/10.1021/ja00455a017
82,83,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,561.0,576.0,1.015,0.14,,,,,,971.64288,doi/10.1021/ja00455a017
84,85,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,c1ccccc1,355.0,421.0,3.3,,,,2154.0,,,227.30598,doi/10.1021/bi00581a025
87,88,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CC(C)=O,350.0,452.0,,,,,2976.0,,,227.30598,doi/10.1021/bi00581a025
90,91,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,O,364.0,531.0,2.1,,,,2614.0,,,227.30598,doi/10.1021/bi00581a025
91,92,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCCO,,477.0,21.6,,,,,,,299.34922,https://doi.org/10.1063/1.1675715
92,93,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCCO,,479.0,21.0,,,,,,,299.34922,https://doi.org/10.1063/1.1675715
93,94,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CCO,,485.0,18.0,,,,,,,299.34922,https://doi.org/10.1063/1.1675715
94,95,O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,CO,,490.0,13.6,,,,,,,299.34922,https://doi.org/10.1063/1.1675715
98,99,C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,328.0,64.0,0.3,3.73,,,,29.6,200.35604,https://doi.org/10.3390/molecules17055108
99,100,C[SiH](C)c1cccc2ccccc12,C1CCCCC1,294.0,328.0,61.0,,3.75,,,,29.2,186.32916,https://doi.org/10.3390/molecules17055108
100,101,CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,329.0,63.0,,3.74,,,,30.2,242.43668,https://doi.org/10.3390/molecules17055108
101,102,CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,295.0,329.0,56.0,,3.78,,,,30.7,242.43668,https://doi.org/10.3390/molecules17055108
102,103,CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294.0,329.0,62.0,,3.76,,,,30.0,298.5442,https://doi.org/10.3390/molecules17055108
103,104,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300.0,333.0,23.0,0.33,3.87,,,,34.2,272.53856,https://doi.org/10.3390/molecules17055108
104,105,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,300.0,333.0,30.0,,3.86,,,,33.3,244.4848,https://doi.org/10.3390/molecules17055108
105,106,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,302.0,335.0,12.0,,3.91,,,,36.0,356.69984,https://doi.org/10.3390/molecules17055108
106,107,COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312.0,327.0,10.0,0.65,3.71,,,,38.8,230.38192,https://doi.org/10.3390/molecules17055108
107,108,C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315.0,333.0,11.0,0.66,3.88,,,,34.1,225.3661,https://doi.org/10.3390/molecules17055108
108,109,C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,311.0,333.0,8.0,,3.82,,,,33.3,225.3661,https://doi.org/10.3390/molecules17055108
109,110,C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,316.0,336.0,9.0,,4.13,,,,36.8,224.37804,https://doi.org/10.3390/molecules17055108
110,111,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347.0,352.0,2.0,0.85,4.65,,,,30.5,320.58256,https://doi.org/10.3390/molecules17055108
111,112,CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,411.0,472.0,1.26,0.4,,,,,69.2,741.1972,https://doi.org/10.1016/S0040-4039(00)01039-X
112,113,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,375.0,490.0,2.74,0.35,,,,,89.8,791.25708,https://doi.org/10.1016/S0040-4039(00)01039-X
113,114,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,398.0,443.0,1.06,0.32,,,,,63.2,596.98416,https://doi.org/10.1016/S0040-4039(00)01039-X
114,115,N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,350.0,496.0,20.6,0.55,,,,51.6,95.6,658.8022,https://doi.org/10.1002/chem.201404745
115,116,CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,350.0,491.0,4.9,0.12,,,,64.1,96.8,911.28604,https://doi.org/10.1002/chem.201404745
116,117,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489.0,560.0,2.4,0.72,4.77815125,,,93.2,80.0,752.83944,https://doi.org/10.1016/j.dyepig.2018.02.016
118,119,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,591.0,2.6,0.78,4.763427994,,,100.0,89.2,752.83944,https://doi.org/10.1016/j.dyepig.2018.02.016
119,120,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClCCl,507.6696165,599.7802198,,,,,,100.9,96.3,752.83944,https://doi.org/10.1016/j.dyepig.2018.02.016
120,121,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508.0,618.0,2.4,0.62,4.763427994,,,102.1,110.3,752.83944,https://doi.org/10.1016/j.dyepig.2018.02.016
121,122,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,507.0,633.0,2.5,0.67,4.755874856,,,101.5,119.6,752.83944,https://doi.org/10.1016/j.dyepig.2018.02.016
122,123,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CS(C)=O,525.3687316,663.0769231,,,,,,102.4,129.9,752.83944,https://doi.org/10.1016/j.dyepig.2018.02.016
123,124,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,417.0,3.289,0.55,4.439332694,,,,,529.45446,https://doi.org/10.1016/j.dyepig.2018.02.012
124,125,ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,455.0,2.017,0.7,4.760874638,,,,,711.24792,https://doi.org/10.1016/j.dyepig.2018.02.012
125,126,ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343.0,419.0,3.019,0.76,4.607883744,,,,,711.24792,https://doi.org/10.1016/j.dyepig.2018.02.012
126,127,c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,ClCCl,343.0,463.0,1.228,0.82,4.897077003,,,,,937.82296,https://doi.org/10.1016/j.dyepig.2018.02.012
127,128,c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,343.0,457.0,1.233,0.89,5.189770956,,,,,1188.12236,https://doi.org/10.1016/j.dyepig.2018.02.012
128,129,c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,343.0,459.0,2.496,0.92,5.551498792,,,,,1438.42176,https://doi.org/10.1016/j.dyepig.2018.02.012
129,130,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,580.0,623.0,3.87,0.57,,,,,74.6,846.95658,https://doi.org/10.1016/j.dyepig.2018.04.054
130,131,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,615.0,637.0,3.36,0.45,,,,,35.5,1169.12156,https://doi.org/10.1016/j.dyepig.2018.04.054
131,132,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,664.0,683.0,0.3544,0.02,4.591621038,,,79.8,41.3,284.40592,http://dx.doi.org/10.1016/j.dyepig.2015.03.004
132,133,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,655.0,672.0,0.3397,0.15,4.819346484,,,70.4,38.2,284.40592,http://dx.doi.org/10.1016/j.dyepig.2015.03.004
133,134,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,655.0,680.0,0.4618,0.09,5.049992857,,,44.7,40.7,284.40592,http://dx.doi.org/10.1016/j.dyepig.2015.03.004
135,136,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,374.0,479.0,7.5,0.38,4.37,,,,45.1,300.36004,https://doi.org/10.1016/j.dyepig.2018.04.037
136,137,C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,438.0,491.0,1.0,0.1,4.35,,,98.2,31.6,412.4948,https://doi.org/10.1016/j.dyepig.2018.04.037
137,138,O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,357.0,494.0,5.5,0.02,4.02,,,,60.5,314.34316,https://doi.org/10.1016/j.dyepig.2018.04.037
138,139,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,372.0,501.0,1.5,0.13,4.29,,,70.0,48.0,314.34316,https://doi.org/10.1016/j.dyepig.2018.04.037
139,140,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353.0,473.0,2.5,0.38,4.17,,,90.7,42.2,364.40304,https://doi.org/10.1016/j.dyepig.2018.04.037
140,141,O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,362.0,485.0,1.5,0.44,3.73,,,,45.2,396.46904,https://doi.org/10.1016/j.dyepig.2018.04.037
162,163,O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34,CS(C)=O,451.0,461.0,1.89,0.72,4.81,,,,,588.70432,https://doi.org/10.1016/j.dyepig.2017.09.003
163,164,O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,ClC(Cl)Cl,414.0,517.0,8.862,,,,,,,280.32604,doi:10.1016/j.dyepig.2004.05.011
164,165,O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,ClC(Cl)Cl,394.0,504.0,8.649,,,,,,,282.29816,doi:10.1016/j.dyepig.2004.05.011
165,166,O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,ClCCl,,,7.023,,,,,,,280.32604,doi:10.1016/j.dyepig.2004.05.011
166,167,O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,ClCCl,,,8.377,,,,,,,282.29816,doi:10.1016/j.dyepig.2004.05.011
167,168,O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23,C1CCOC1,,,7.023,,,,,,,280.32604,doi:10.1016/j.dyepig.2004.05.011
168,169,O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23,C1CCOC1,,,8.377,,,,,,,282.29816,doi:10.1016/j.dyepig.2004.05.011
169,170,Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])c(OCCOc2cc3cc(-c4ncc(C(=O)[O-])o4)oc3cc2N(CC(=O)[O-])CC(=O)[O-])c1,O,362.0,500.0,1.09,,,,,,,636.50068,http://www.iss.com/resources/research/technical_notes/K2CH_FLT.html
170,171,Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])cc1OCCOc1cc(-c2cc3ccc(C(=O)[O-])cc3[nH]2)ccc1N(CC(=O)[O-])CC(=O)[O-],O,349.0,482.0,1.4,,,,,,,644.56744,http://www.iss.com/resources/research/technical_notes/K2CH_FLT.html
171,172,CC(=O)OCOC(=O)CN(CC(=O)OCOC(C)=O)c1ccccc1OCCOc1cc(NC(=O)c2ccc3c(c2)C(=O)OC32c3cc(Cl)c(OC(C)=O)cc3Oc3cc(OC(C)=O)c(Cl)cc32)ccc1N(CC(=O)OCOC(C)=O)CC(=O)OCOC(C)=O,O,506.0,534.0,0.92,,,,,,,1290.97082,http://www.iss.com/resources/research/technical_notes/K2CH_FLT.html
172,173,COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2nc(COc3cc(C)ccc3N(CC(=O)[O-])CC(=O)[O-])ccc2c1,O,356.0,500.0,1.35,,,,,,,537.47962,http://www.iss.com/resources/research/technical_notes/K2CH_FLT.html
173,174,COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2ncccc2c1,O,353.0,487.0,0.84,,,,,,,288.25828,http://www.iss.com/resources/research/technical_notes/K2CH_FLT.html
174,175,O=C([O-])COc1cc(NC(=O)c2ccc(-c3c4cc(Cl)c(=O)cc-4oc4cc(O)c(Cl)cc34)c(C(=O)[O-])c2)ccc1N(CC(=O)[O-])CC(=O)[O-],O,506.0,532.0,1.21,,,,,,,721.41292,http://www.iss.com/resources/research/technical_notes/K2CH_FLT.html
